,ene_y1,ene_y3
84,21016.851815336522,23331.667576203163
85,25170.781405077014,22695.67996175062
86,23886.150516892994,22130.414475994487
87,24209.658890797444,23969.31965445747
88,23088.27040239127,21284.37103147843
89,22557.66404619795,20325.65687123618
90,24314.02803959931,23407.521732687546
91,23767.501862870122,23762.004307106527
92,24469.45283683717,24348.13837030064
93,22473.922032942286,21736.251466918937
94,20904.326631821008,23361.881474707723
95,21815.512276351463,22622.56647830342
96,22908.063809239055,24174.03353186823
97,21338.89943013853,23537.809754592752
98,22950.49034220176,20545.305925989167
99,24224.747887052356,23860.879917300375
100,23881.952156800635,24756.981786695338
101,24268.969043796587,24490.79623766107
102,21705.756765306134,23079.85503395697
103,25308.925691899265,23717.028343977236
104,23534.981079101057,22478.752621898377
105,23173.229118898027,22087.782210171627
106,24762.055350395687,23341.52660493579
107,24670.651733101193,22247.754627304184
108,23226.760943101348,25007.316207605592
109,24469.645936524834,17952.194177574886
110,25028.099330152225,21699.64259929504
111,22929.326126304146,22399.379582991336
112,25413.615459299464,17345.125284599646
113,24192.288979103112,22324.43602759711
114,25986.122493678293,22971.032482785642
115,25151.69436129921,23157.420196003975
116,23725.967791223917,23129.28220332617
117,24534.576308539486,21730.66848353032
118,22504.25867350069,22172.027353031364
119,24108.339211290237,21482.21697329137
120,24546.66918741531,23027.38723554376
121,24797.726964600548,21683.59890005785
122,22678.970425350104,22023.516367960347
123,23065.199690798305,24047.65197665095
124,24116.355832817724,24321.68353660409
125,24810.343896200746,22560.22567561492
126,22750.799054506846,22466.345575895404
127,25368.9401197024,21332.509536772624
128,23254.977666199004,19976.11965533625
129,23909.67237545056,21701.51221535401
130,23183.887609702688,20029.498066671687
131,24761.729767427536,22222.35005687937
132,21331.08766630365,22747.606242793307
133,25346.080344050355,23568.651475475534
134,23591.021518953505,22957.365794847752
135,23316.861778997783,23016.669615059505
136,23666.299480700367,22387.469519393984
137,21860.109424997023,23568.04797059807
138,23560.823370519807,22243.125608065857
139,22693.32699973416,25248.729930179332
140,24686.20121079855,22304.235587680505
141,24163.599083750396,25157.758370712272
142,24963.850512097048,24206.893974198905
143,23289.764957051502,22740.620385796636
144,22556.271027004263,20716.71030358326
145,24525.856225299398,21611.1781534977
146,24989.902301797603,24056.39370240116
147,24902.676493798223,23176.19540880744
148,24167.658022157844,22554.406334046722
149,20990.96500670147,23908.54258120931
150,23326.949832921975,23870.589533084716
151,24471.580000397196,21906.242759833163
152,23260.057004280985,11397.188476364276
153,25898.7344423987,22623.70038870738
154,21778.441747975034,22130.274655953406
155,24612.877873796104,23454.63394530008
156,24023.632397697304,22111.83637305612
157,23278.264222618353,23523.50117659651
158,24611.380706267657,20674.10597454385
159,23388.675110467477,20201.16254067755
160,23758.857834895854,24747.822817687917
161,22953.345422426664,21989.1976351681
162,22404.934959167207,24959.69759459891
163,22990.05547710138,20648.996040003112
164,23883.99613190157,23034.641519807145
165,21546.225546149875,20618.631336684284
166,22834.6619880507,19541.629853260165
167,26325.334212658458,23858.92349258454
168,22773.718183235163,21243.937003603525
169,22862.872453360003,22944.91015432929
170,22628.424878400783,22465.40304285695
171,24625.08187699967,20918.463156519294
172,23838.993382931345,22638.884905689578
173,25435.335086797833,23122.84433349588
174,21433.300247135536,21541.915125015043
175,23922.99323980091,22882.822200995855
176,23146.372328300506,21684.526594421048
177,25488.64092891088,23908.787375899734
178,23431.624278001404,21858.53228491521
179,23734.45238195088,23499.6605114193
180,24312.74499489601,21688.655086614104
181,24045.905235867096,23183.731910616232
182,25393.435224497236,22446.803876983315
183,22999.081956990794,23659.493402995806
184,22819.43738427239,23057.94305237883
185,22495.701934298497,21295.368144652013
186,24388.166078290928,22968.922197961358
187,23138.086973597376,20755.708510107917
188,22306.03112930385,25155.89379489841
189,22238.064605599786,22005.539833950654
190,22896.911033099495,23089.504400586822
191,24087.259458903332,21815.441020012095
192,24286.084164078853,23411.88211699851
193,24174.135689205923,22420.20535778115
194,22920.767953860286,24048.997789994475
195,23158.547169039844,20511.12743280487
196,23509.851847696365,23312.06105373096
197,23449.672154704003,21826.60140128809
198,23455.8578159881,23218.07931655025
199,22694.85012420848,22301.549213298225
200,25226.332839119837,23050.25295467819
201,22806.514567780625,23360.15785818893
202,23177.012978741943,22379.030997504644
203,20924.372114397534,22827.848697198224
204,24479.332233298268,22165.997282865268
205,22224.141539995617,21742.69523469837
206,21975.38889870629,32969.97023029837
207,22144.005183328623,21021.105021152336
208,25805.73154579694,21672.74738317974
209,23369.275107103294,22918.510008925674
210,25098.68070878149,23606.875254350238
211,22604.85930650253,25366.861895895876
212,23979.378556400174,22302.753159121694
213,23500.85633880168,21984.899088505226
214,24012.866824402376,29999.79720550006
215,22148.745593274965,22858.550102501646
216,22622.055547795968,21098.42847200389
217,23852.04622079896,21825.599531708038
